日期,最高,最低
2017/9/10,28,19
2017/9/11,29,16
2017/9/12,29,19
2017/9/13,28,19
2017/9/14,28,20
2017/9/15,28,18
2017/9/16,28,18
2017/9/17,29,16
2017/9/18,30,18
2017/9/19,29,15
2017/9/20,27,14
2017/9/21,29,17
2017/9/22,28,14
2017/9/23,28,17
2017/9/24,29,18
2017/9/25,28,18
2017/9/26,23,13
2017/9/27,23,10
2017/9/28,22,11
2017/9/29,25,11
2017/9/30,27,16
2017/10/1,26,13
2017/10/2,18,9
2017/10/3,20,9
2017/10/4,22,10
2017/10/5,21,11
2017/10/6,22,13
2017/10/7,20,13
2017/10/8,18,13
2017/10/9,15,9
2017/10/10,11,6
2017/10/11,16,6
2017/10/12,18,9
2017/10/13,18,9
2017/10/14,13,9
2017/10/15,16,8
2017/10/16,18,7
2017/10/17,16,11
2017/10/18,15,9
2017/10/19,18,9
2017/10/20,20,11
2017/10/21,18,10
2017/10/22,13,7
2017/10/23,16,5
2017/10/24,18,8
2017/10/25,15,9
2017/10/26,17,9
2017/10/27,18,9
2017/10/28,16,5
2017/10/29,12,1
2017/10/30,14,2
2017/10/31,16,4
2017/11/1,17,5
2017/11/2,17,3
2017/11/3,13,0
2017/11/4,14,3
2017/11/5,15,4
2017/11/6,15,4
2017/11/7,18,4
2017/11/8,13,4
2017/11/9,13,5
2017/11/10,11,-1
2017/11/11,10,0
2017/11/12,11,0
2017/11/13,12,0
2017/11/14,8,-4
2017/11/15,7,-3
2017/11/16,7,-1
2017/11/17,6,-4
2017/11/18,5,-6
2017/11/19,7,-5
2017/11/20,9,-3
2017/11/21,8,-2
2017/11/22,7,-5
2017/11/23,7,-4
2017/11/24,7,-5
2017/11/25,7,-4
2017/11/26,4,-4
2017/11/27,7,-3
2017/11/28,7,-5
2017/11/29,1,-6
2017/11/30,4,-5
2017/12/1,5,-5
2017/12/2,6,-4
2017/12/3,5,-5
2017/12/4,4,-6
2017/12/5,7,-4
2017/12/6,8,-4
2017/12/7,5,-5
2017/12/8,6,-4
2017/12/9,6,-4
2017/12/10,4,-5
